taxa	abundance
Acetobacteraceae	0.0008
Acidaminococcaceae	0.0025
Actinomycetaceae	0.0008
Aerococcaceae	0.0008
Alcaligenaceae	0.0017
Aquificaceae	0.0008
Bacillaceae	0.0319
Bacteroidaceae	0.0663
Bartonellaceae	0.0008
Bifidobacteriaceae	0.0294
Brachyspiraceae	0.0008
Bradyrhizobiaceae	0.0017
Brucellaceae	0.0008
Burkholderiaceae	0.0034
Campylobacteraceae	0.0017
Cardiobacteriaceae	0.0008
Carnobacteriaceae	0.0008
Chlamydiaceae	0.0025
Chlorobiaceae	0.0008
Chloroflexaceae	0.0008
Clostridiaceae	0.0872
Clostridiales Family XI. Incertae Sedis	0.0017
Comamonadaceae	0.0025
Coriobacteriaceae	0.0017
Corynebacteriaceae	0.0017
Coxiellaceae	0.0008
Desulfovibrionaceae	0.0101
Elusimicrobiaceae	0.0008
Enterobacteriaceae	0.0109
Enterococcaceae	0.0008
Erysipelotrichaceae	0.0260
Erythrobacteraceae	0.0008
Eubacteriaceae	0.0906
Flavobacteriaceae	0.0008
Gallionellaceae	0.0008
Geobacteraceae	0.0017
Halobacteriaceae	0.0008
Halothiobacillaceae	0.0008
Helicobacteraceae	0.0008
Heliobacteriaceae	0.0008
Hyphomicrobiaceae	0.0008
Lachnospiraceae	0.1669
Lactobacillaceae	0.0050
Legionellaceae	0.0008
Leptospiraceae	0.0008
Leuconostocaceae	0.0017
Listeriaceae	0.0017
Mariprofundaceae	0.0008
Methanobacteriaceae	0.0008
Methylacidiphilaceae	0.0008
Micrococcaceae	0.0008
Moraxellaceae	0.0017
Mycoplasmataceae	0.0025
Nannocystaceae	0.0008
Natranaerobiaceae	0.0008
Neisseriaceae	0.0034
Nitrosopumilaceae	0.0008
Oceanospirillaceae	0.0008
Oxalobacteraceae	0.0252
Paenibacillaceae	0.0017
Parvularculaceae	0.0008
Pasteurellaceae	0.0008
Pelobacteraceae	0.0008
Piscirickettsiaceae	0.0008
Planctomycetaceae	0.0008
Porphyromonadaceae	0.0101
Prevotellaceae	0.0008
Prochlorococcaceae	0.0008
Pseudomonadaceae	0.0017
Rhizobiaceae	0.0008
Rhodobacteraceae	0.0008
Rhodothermaceae	0.0008
Rikenellaceae	0.0017
Ruminococcaceae	0.2483
Spirochaetaceae	0.0017
Staphylococcaceae	0.0042
Streptococcaceae	0.0017
Sulfolobaceae	0.0017
Synergistaceae	0.0008
Syntrophaceae	0.0008
Syntrophomonadaceae	0.0017
Thermoanaerobacterales Family III. Incertae Sedis	0.0025
Thermodesulfobiaceae	0.0017
Thermoplasmataceae	0.0008
Thermotogaceae	0.0008
Tsukamurellaceae	0.0008
Veillonellaceae	0.0008
unclassified	0.0982
