taxa	abundance
Actinobacteria (class)	0.0220
Alphaproteobacteria	0.0150
Bacilli	0.0701
Bacteroidia	0.1191
Betaproteobacteria	0.0250
Chlamydiia	0.0010
Clostridia	0.6727
Deltaproteobacteria	0.0050
Epsilonproteobacteria	0.0040
Erysipelotrichi	0.0060
Fibrobacteria	0.0030
Flavobacteriia	0.0020
Gammaproteobacteria	0.0250
Methanomicrobia	0.0010
Mollicutes	0.0050
Negativicutes	0.0080
Planctomycetia	0.0020
Spirochaetia	0.0020
Synergistia	0.0020
Thermoplasmata	0.0010
Thermotogae (class)	0.0020
unclassified	0.0070
