taxa	abundance
Abiotrophia	0.0016
Acetivibrio	0.0016
Acidaminococcus	0.0033
Aciduliprofundum	0.0016
Anaerofustis	0.0016
Anaerostipes	0.0164
Anaerotruncus	0.0016
Bacillus	0.0524
Bacteroides	0.1097
Bifidobacterium	0.0376
Bilophila	0.0082
Blautia	0.0213
Brucella	0.0016
Buchnera	0.0016
Burkholderia	0.0016
Butyrivibrio	0.0016
Candidatus Liberibacter	0.0016
Candidatus Pelagibacter	0.0016
Carnobacterium	0.0016
Catenibacterium	0.0245
Chlamydia	0.0016
Clostridium	0.2226
Comamonas	0.0016
Coprobacillus	0.0016
Coprococcus	0.0049
Coprothermobacter	0.0016
Desulfovibrio	0.0082
Desulfurococcus	0.0016
Dethiosulfovibrio	0.0016
Enterobacter	0.0016
Enterococcus	0.0393
Epulopiscium	0.0049
Escherichia	0.0115
Ethanoligenens	0.0147
Eubacterium	0.0475
Faecalibacterium	0.0409
Flavobacterium	0.0016
Gemmatimonas	0.0016
Halothiobacillus	0.0016
Klebsiella	0.0131
Lactobacillus	0.0082
Lawsonia	0.0016
Lutiella	0.0016
Megasphaera	0.0016
Mesorhizobium	0.0016
Methanospirillum	0.0016
Methylobacterium	0.0016
Microcoleus	0.0016
Neisseria	0.0016
Nitrosopumilus	0.0016
Oenococcus	0.0016
Oribacterium	0.0016
Orientia	0.0016
Parabacteroides	0.0327
Porphyromonas	0.0016
Pseudomonas	0.0016
Rhizobium	0.0016
Rickettsia	0.0016
Roseburia	0.0016
Rubrobacter	0.0016
Ruminococcus	0.0655
Selenomonas	0.0016
Shigella	0.0016
Sorangium	0.0016
Streptococcus	0.0033
Streptomyces	0.0016
Subdoligranulum	0.0049
Thermoanaerobacterium	0.0016
Trichormus	0.0016
Ureaplasma	0.0016
Zymomonas	0.0016
unclassified	0.1260
