taxa	abundance
Acholeplasmatales	0.0016
Actinomycetales	0.0016
Bacillales	0.0524
Bacteroidales	0.1440
Bifidobacteriales	0.0376
Burkholderiales	0.0033
Chlamydiales	0.0016
Chromatiales	0.0016
Clostridiales	0.5581
Coriobacteriales	0.0016
Desulfovibrionales	0.0180
Desulfurococcales	0.0016
Enterobacteriales	0.0295
Erysipelotrichales	0.0393
Flavobacteriales	0.0016
Gemmatimonadales	0.0016
Lactobacillales	0.0556
Methanomicrobiales	0.0016
Mycoplasmatales	0.0016
Myxococcales	0.0016
Neisseriales	0.0049
Nitrosopumilales	0.0016
Nostocales	0.0016
Oscillatoriales	0.0016
Pseudomonadales	0.0016
Rhizobiales	0.0082
Rickettsiales	0.0049
Rubrobacterales	0.0016
Selenomonadales	0.0065
Sphingomonadales	0.0016
Synergistales	0.0016
Thermoanaerobacterales	0.0033
unclassified	0.0049
