taxa	abundance
Abiotrophia defectiva	0.0016
Acetivibrio cellulolyticus	0.0016
Aciduliprofundum boonei	0.0016
Anaerofustis stercorihominis	0.0016
Anaerostipes caccae	0.0098
Anaerostipes sp. 3_2_56FAA	0.0016
Anaerotruncus colihominis	0.0016
Bacillus amyloliquefaciens	0.0016
Bacillus cereus	0.0426
Bacillus subtilis	0.0033
Bacillus thuringiensis	0.0049
Bacteroides cellulosilyticus	0.0016
Bacteroides coprophilus	0.0016
Bacteroides eggerthii	0.0016
Bacteroides helcogenes	0.0033
Bacteroides ovatus	0.0098
Bacteroides sp. 2_2_4	0.0016
Bacteroides sp. D1	0.0065
Bacteroides sp. D20	0.0049
Bacteroides sp. D22	0.0016
Bacteroides stercoris	0.0098
Bacteroides uniformis	0.0229
Bacteroides vulgatus	0.0295
Bacteroides xylanisolvens	0.0033
Bifidobacterium adolescentis	0.0147
Bifidobacterium angulatum	0.0016
Bifidobacterium dentium	0.0065
Bifidobacterium longum	0.0098
Bifidobacterium sp. 12_1_47BFAA	0.0016
Bilophila wadsworthia	0.0082
Blautia hansenii	0.0115
Blautia hydrogenotrophica	0.0098
Brucella microti	0.0016
Buchnera aphidicola	0.0016
Burkholderia cenocepacia	0.0016
Candidatus Liberibacter asiaticus	0.0016
Candidatus Pelagibacter ubique	0.0016
Carnobacterium sp. AT7	0.0016
Catenibacterium mitsuokai	0.0245
Chlamydia pneumoniae	0.0016
Clostridiales bacterium 1_7_47FAA	0.0638
Clostridiales genomosp. BVAB3	0.0016
Clostridium asparagiforme	0.0393
Clostridium bolteae	0.0540
Clostridium hathewayi	0.0393
Clostridium hylemonae	0.0049
Clostridium leptum	0.0033
Clostridium phytofermentans	0.0065
Clostridium proteoclasticum	0.0016
Clostridium ramosum	0.0065
Clostridium saccharolyticum	0.0147
Clostridium sp. L2-50	0.0016
Clostridium sp. M62/1	0.0180
Clostridium sp. SS2/1	0.0245
Comamonas testosteroni	0.0016
Coprobacillus sp. 29_1	0.0016
Coprococcus catus	0.0016
Coprococcus eutactus	0.0016
Coprothermobacter proteolyticus	0.0016
Desulfovibrio desulfuricans	0.0016
Desulfovibrio vulgaris	0.0049
Desulfurococcus kamchatkensis	0.0016
Dethiosulfovibrio peptidovorans	0.0016
Enterobacter cloacae	0.0016
Enterococcus casseliflavus	0.0229
Enterococcus faecalis	0.0098
Enterococcus gallinarum	0.0065
Epulopiscium sp. 'N.t. morphotype B'	0.0049
Escherichia coli	0.0115
Ethanoligenens harbinense	0.0147
Eubacterium hallii	0.0016
Eubacterium rectale	0.0442
Eubacterium saphenum	0.0016
Faecalibacterium prausnitzii	0.0409
Flavobacteria bacterium MS024-2A	0.0016
Flavobacterium psychrophilum	0.0016
Gemmatimonas aurantiaca	0.0016
Halothiobacillus neapolitanus	0.0016
Klebsiella pneumoniae	0.0098
Klebsiella variicola	0.0033
Lachnospiraceae bacterium 5_1_63FAA	0.0065
Lactobacillus fermentum	0.0016
Lactobacillus johnsonii	0.0016
Lactobacillus rhamnosus	0.0016
Lactobacillus ruminis	0.0016
Lawsonia intracellularis	0.0016
Lutiella nitroferrum	0.0016
Marvinbryantia formatexigens	0.0033
Megasphaera genomosp. type_1	0.0016
Mesorhizobium opportunistum	0.0016
Methanospirillum hungatei	0.0016
Methylobacterium radiotolerans	0.0016
Microcoleus chthonoplastes	0.0016
Neisseria meningitidis	0.0016
Nitrosopumilus maritimus	0.0016
Oenococcus oeni	0.0016
Orientia tsutsugamushi	0.0016
Parabacteroides distasonis	0.0065
Parabacteroides merdae	0.0213
Pseudomonas mendocina	0.0016
Rhizobium leguminosarum	0.0016
Rickettsia akari	0.0016
Roseburia inulinivorans	0.0016
Rubrobacter xylanophilus	0.0016
Ruminococcus bromii	0.0147
Ruminococcus obeum	0.0049
Ruminococcus sp. 18P13	0.0033
Ruminococcus sp. 5_1_39BFAA	0.0262
Ruminococcus sp. SR1/5	0.0049
Ruminococcus torques	0.0033
Shigella dysenteriae	0.0016
Sorangium cellulosum	0.0016
Streptococcus agalactiae	0.0016
Streptococcus pyogenes	0.0016
Subdoligranulum variabile	0.0049
Thermoanaerobacterium thermosaccharolyticum	0.0016
Trichormus azollae	0.0016
Zymomonas mobilis	0.0016
[Bacteroides] pectinophilus	0.0049
unclassified	0.1031
