taxa	abundance
Abiotrophia defectiva	0.0011
Acaryochloris marina	0.0017
Acetivibrio cellulolyticus	0.0025
Acetobacter pasteurianus	0.0008
Acholeplasma laidlawii	0.0011
Achromobacter piechaudii	0.0008
Achromobacter xylosoxidans	0.0003
Acidaminococcus fermentans	0.0003
Acidaminococcus sp. D21	0.0006
Acidimicrobium ferrooxidans	0.0025
Acidiphilium cryptum	0.0006
Acidithiobacillus caldus	0.0003
Acidothermus cellulolyticus	0.0042
Acidovorax citrulli	0.0006
Acidovorax delafieldii	0.0003
Aciduliprofundum boonei	0.0031
Acinetobacter baumannii	0.0048
Acinetobacter radioresistens	0.0006
Actinobacillus minor	0.0006
Actinobacillus pleuropneumoniae	0.0020
Actinobacillus succinogenes	0.0003
Actinomyces sp. oral taxon 848	0.0003
Actinomyces viscosus	0.0006
Actinosynnema mirum	0.0065
Aeromicrobium marinum	0.0011
Aeropyrum pernix	0.0014
Afipia sp. 1NLS2	0.0011
Aggregatibacter actinomycetemcomitans	0.0006
Agrobacterium tumefaciens	0.0023
Agrobacterium vitis	0.0008
Akkermansia muciniphila	0.0023
Alcanivorax sp. DG881	0.0008
Algoriphagus sp. PR1	0.0031
Alicycliphilus denitrificans	0.0003
Alicyclobacillus acidocaldarius	0.0011
Aliivibrio salmonicida	0.0006
Alistipes putredinis	0.0025
Alkaliphilus metalliredigens	0.0014
Allochromatium vinosum	0.0006
Alteromonadales bacterium TW-7	0.0003
Anabaena variabilis	0.0003
Anaerococcus vaginalis	0.0003
Anaerofustis stercorihominis	0.0023
Anaeromyxobacter dehalogenans	0.0014
Anaeromyxobacter sp. Fw109-5	0.0017
Anaerostipes caccae	0.0006
Anaerotruncus colihominis	0.0006
Anaplasma centrale	0.0003
Anaplasma marginale	0.0008
Anaplasma phagocytophilum	0.0008
Anoxybacillus flavithermus	0.0003
Aquifex aeolicus	0.0003
Archaeoglobus profundus	0.0014
Arcobacter butzleri	0.0023
Arthrobacter aurescens	0.0003
Arthrobacter chlorophenolicus	0.0008
Arthrobacter sp. FB24	0.0003
Arthrospira maxima	0.0006
Arthrospira platensis	0.0003
Aster yellows witches'-broom phytoplasma	0.0008
Asticcacaulis excentricus	0.0003
Atopobium parvulum	0.0003
Atopobium rimae	0.0014
Azoarcus sp. BH72	0.0006
Azorhizobium caulinodans	0.0017
Azospirillum sp. B510	0.0014
Azotobacter vinelandii	0.0003
Bacillus atrophaeus	0.0003
Bacillus cereus	0.0031
Bacillus cytotoxicus	0.0006
Bacillus halodurans	0.0003
Bacillus licheniformis	0.0008
Bacillus megaterium	0.0006
Bacillus pseudofirmus	0.0006
Bacillus pseudomycoides	0.0003
Bacillus sp. B14905	0.0006
Bacillus sp. SG-1	0.0008
Bacteroides caccae	0.0003
Bacteroides coprocola	0.0003
Bacteroides coprophilus	0.0003
Bacteroides fragilis	0.0011
Bacteroides helcogenes	0.0003
Bacteroides ovatus	0.0003
Bacteroides plebeius	0.0003
Bacteroides stercoris	0.0003
Bacteroides thetaiotaomicron	0.0006
Bacteroides vulgatus	0.0006
Bartonella bacilliformis	0.0006
Bartonella clarridgeiae	0.0006
Bartonella henselae	0.0011
Bartonella quintana	0.0003
Bartonella tribocorum	0.0006
Bdellovibrio bacteriovorus	0.0037
Beggiatoa sp. SS	0.0011
Beijerinckia indica	0.0014
Beutenbergia cavernae	0.0011
Bifidobacterium angulatum	0.0003
Bifidobacterium animalis	0.0020
Bifidobacterium bifidum	0.0017
Bifidobacterium dentium	0.0034
Bifidobacterium gallicum	0.0006
Bifidobacterium longum	0.0020
Blastopirellula marina	0.0025
Blattabacterium sp. (Blattella germanica)	0.0014
Blattabacterium sp. (Periplaneta americana)	0.0006
Blautia hansenii	0.0008
Blautia hydrogenotrophica	0.0008
Bordetella pertussis	0.0014
Bordetella petrii	0.0003
Borrelia afzelii	0.0003
Borrelia burgdorferi	0.0034
Borrelia hermsii	0.0006
Borrelia recurrentis	0.0003
Brachyspira hyodysenteriae	0.0011
Brachyspira murdochii	0.0006
Bradyrhizobium japonicum	0.0011
Bradyrhizobium sp. BTAi1	0.0006
Brevibacillus brevis	0.0006
Brevibacterium linens	0.0011
Brevundimonas sp. BAL3	0.0014
Brevundimonas subvibrioides	0.0006
Brucella abortus	0.0023
Brucella microti	0.0006
Buchnera aphidicola	0.0105
Bulleidia extructa	0.0006
Burkholderia cenocepacia	0.0011
Burkholderia dolosa	0.0011
Burkholderia glumae	0.0008
Burkholderia multivorans	0.0003
Burkholderia phymatum	0.0006
Burkholderia pseudomallei	0.0028
Burkholderia rhizoxinica	0.0003
Burkholderia thailandensis	0.0006
Burkholderia ubonensis	0.0003
Burkholderia xenovorans	0.0003
Butyrivibrio crossotus	0.0006
Caldanaerobacter subterraneus	0.0006
Caldicellulosiruptor kristjanssonii	0.0003
Caldicellulosiruptor lactoaceticus	0.0003
Caldicellulosiruptor saccharolyticus	0.0008
Caldivirga maquilingensis	0.0017
Caminibacter mediatlanticus	0.0006
Campylobacter coli	0.0003
Campylobacter curvus	0.0003
Campylobacter fetus	0.0003
Campylobacter gracilis	0.0003
Campylobacter hominis	0.0006
Campylobacter lari	0.0003
Campylobacter showae	0.0003
Campylobacter upsaliensis	0.0003
Candidatus Amoebophilus asiaticus	0.0037
Candidatus Azobacteroides pseudotrichonymphae	0.0028
Candidatus Baumannia cicadellinicola	0.0003
Candidatus Blochmannia floridanus	0.0040
Candidatus Blochmannia pennsylvanicus	0.0003
Candidatus Desulforudis audaxviator	0.0006
Candidatus Hamiltonella defensa	0.0023
Candidatus Korarchaeum cryptofilum	0.0014
Candidatus Koribacter versatilis	0.0011
Candidatus Liberibacter asiaticus	0.0054
Candidatus Pelagibacter ubique	0.0054
Candidatus Phytoplasma australiense	0.0051
Candidatus Phytoplasma mali	0.0042
Candidatus Protochlamydia amoebophila	0.0006
Candidatus Solibacter usitatus	0.0006
Capnocytophaga gingivalis	0.0006
Capnocytophaga ochracea	0.0003
Capnocytophaga sputigena	0.0006
Carboxydothermus hydrogenoformans	0.0011
Cardiobacterium hominis	0.0003
Carnobacterium sp. AT7	0.0023
Catenibacterium mitsuokai	0.0020
Catenulispora acidiphila	0.0003
Catonella morbi	0.0017
Caulobacter sp. K31	0.0003
Caulobacter vibrioides	0.0006
Cellulomonas flavigena	0.0003
Cellvibrio japonicus	0.0020
Cenarchaeum symbiosum	0.0037
Chitinophaga pinensis	0.0023
Chlamydia muridarum	0.0006
Chlamydia pneumoniae	0.0020
Chlamydia trachomatis	0.0020
Chlamydophila abortus	0.0006
Chlamydophila caviae	0.0003
Chlorobaculum parvum	0.0003
Chlorobium chlorochromatii	0.0011
Chlorobium phaeobacteroides	0.0011
Chloroflexus aggregans	0.0008
Chloroflexus aurantiacus	0.0008
Chloroherpeton thalassium	0.0017
Chromobacterium violaceum	0.0008
Chromohalobacter salexigens	0.0006
Chryseobacterium gleum	0.0006
Citreicella sp. SE45	0.0008
Citrobacter sp. 30_2	0.0003
Clostridiales bacterium 1_7_47FAA	0.0011
Clostridiales genomosp. BVAB3	0.0003
Clostridium bartlettii	0.0003
Clostridium bolteae	0.0006
Clostridium botulinum	0.0037
Clostridium butyricum	0.0008
Clostridium cellulolyticum	0.0006
Clostridium difficile	0.0006
Clostridium hiranonis	0.0006
Clostridium hylemonae	0.0003
Clostridium kluyveri	0.0011
Clostridium leptum	0.0014
Clostridium ljungdahlii	0.0006
Clostridium papyrosolvens	0.0003
Clostridium perfringens	0.0011
Clostridium phytofermentans	0.0008
Clostridium saccharolyticum	0.0011
Clostridium scindens	0.0008
Clostridium sp. 7_2_43FAA	0.0014
Clostridium sp. L2-50	0.0014
Clostridium sp. M62/1	0.0003
Clostridium sp. SS2/1	0.0008
Clostridium thermocellum	0.0017
Collinsella stercoris	0.0003
Comamonas testosteroni	0.0014
Congregibacter litoralis	0.0003
Coprococcus catus	0.0003
Coprococcus eutactus	0.0003
Coprothermobacter proteolyticus	0.0031
Corynebacterium aurimucosum	0.0006
Corynebacterium diphtheriae	0.0006
Corynebacterium efficiens	0.0008
Corynebacterium glutamicum	0.0011
Corynebacterium jeikeium	0.0003
Corynebacterium kroppenstedtii	0.0006
Corynebacterium matruchotii	0.0025
Corynebacterium pseudotuberculosis	0.0003
Corynebacterium striatum	0.0003
Corynebacterium urealyticum	0.0003
Coxiella burnetii	0.0023
Croceibacter atlanticus	0.0008
Crocosphaera watsonii	0.0011
Cryptobacterium curtum	0.0006
Cupriavidus metallidurans	0.0008
Cyanothece sp. ATCC 51142	0.0006
Cyanothece sp. CCY0110	0.0003
Cyanothece sp. PCC 7424	0.0006
Cyanothece sp. PCC 7425	0.0031
Cyanothece sp. PCC 7822	0.0003
Cyanothece sp. PCC 8802	0.0006
Cytophaga hutchinsonii	0.0023
Dehalococcoides ethenogenes	0.0003
Dehalococcoides sp. GT	0.0003
Desulfatibacillum alkenivorans	0.0020
Desulfitobacterium hafniense	0.0003
Desulfobacterium autotrophicum	0.0011
Desulfococcus oleovorans	0.0008
Desulfohalobium retbaense	0.0006
Desulfomicrobium baculatum	0.0011
Desulfonatronospira thiodismutans	0.0011
Desulfotalea psychrophila	0.0031
Desulfotomaculum acetoxidans	0.0017
Desulfotomaculum reducens	0.0003
Desulfovibrio desulfuricans	0.0008
Desulfovibrio fructosovorans	0.0006
Desulfovibrio magneticus	0.0003
Desulfovibrio piger	0.0006
Desulfovibrio salexigens	0.0011
Desulfovibrio sp. FW1012B	0.0003
Desulfovibrio vulgaris	0.0025
Desulfurococcus kamchatkensis	0.0025
Dethiobacter alkaliphilus	0.0014
Dethiosulfovibrio peptidovorans	0.0008
Dialister invisus	0.0008
Dichelobacter nodosus	0.0020
Dickeya dadantii	0.0031
Dictyoglomus thermophilum	0.0003
Dictyoglomus turgidum	0.0006
Dinoroseobacter shibae	0.0017
Dokdonia donghaensis	0.0008
Dorea longicatena	0.0006
Dyadobacter fermentans	0.0011
Edwardsiella ictaluri	0.0003
Edwardsiella tarda	0.0006
Eggerthella sp. 1_3_56FAA	0.0003
Ehrlichia canis	0.0006
Ehrlichia chaffeensis	0.0014
Ehrlichia ruminantium	0.0020
Eikenella corrodens	0.0006
Elusimicrobium minutum	0.0011
Enhydrobacter aerosaccus	0.0003
Enterobacter cancerogenus	0.0011
Enterobacter cloacae	0.0003
Enterococcus casseliflavus	0.0003
Enterococcus faecalis	0.0020
Enterococcus faecium	0.0025
Epulopiscium sp. 'N.t. morphotype B'	0.0008
Erwinia tasmaniensis	0.0003
Erysipelothrix rhusiopathiae	0.0017
Erysipelotrichaceae bacterium 3_1_53	0.0003
Erysipelotrichaceae bacterium 5_2_54FAA	0.0003
Erythrobacter litoralis	0.0110
Erythrobacter sp. SD-21	0.0003
Escherichia coli	0.0031
Eubacterium dolichum	0.0011
Eubacterium eligens	0.0003
Eubacterium saphenum	0.0014
Exiguobacterium sibiricum	0.0006
Exiguobacterium sp. AT1b	0.0011
Faecalibacterium prausnitzii	0.0006
Ferroglobus placidus	0.0006
Ferroplasma acidarmanus	0.0008
Fervidobacterium nodosum	0.0003
Fibrobacter succinogenes	0.0006
Finegoldia magna	0.0011
Flavobacteria bacterium BAL38	0.0006
Flavobacteria bacterium BBFL7	0.0011
Flavobacteria bacterium MS024-2A	0.0025
Flavobacteria bacterium MS024-3C	0.0008
Flavobacteriaceae bacterium 3519-10	0.0003
Flavobacteriales bacterium ALC-1	0.0003
Flavobacterium johnsoniae	0.0011
Flavobacterium psychrophilum	0.0003
Francisella philomiragia	0.0014
Francisella tularensis	0.0076
Frankia alni	0.0003
Frankia sp. CcI3	0.0062
Frankia sp. EUN1f	0.0023
Frankia symbiont of Datisca glomerata	0.0011
Fulvimarina pelagi	0.0008
Fusobacterium nucleatum	0.0031
Fusobacterium sp. 2_1_31	0.0006
Fusobacterium sp. D11	0.0003
Gallionella capsiferriformans	0.0006
Gardnerella vaginalis	0.0074
Gemella haemolysans	0.0003
Gemella morbillorum	0.0017
Gemmata obscuriglobus	0.0003
Geobacillus sp. WCH70	0.0003
Geobacillus sp. Y4.1MC1	0.0006
Geobacillus sp. Y412MC52	0.0006
Geobacillus thermodenitrificans	0.0003
Geobacter bemidjiensis	0.0003
Geobacter lovleyi	0.0011
Geobacter metallireducens	0.0006
Geobacter sp. M21	0.0006
Geobacter sulfurreducens	0.0003
Geobacter uraniireducens	0.0011
Geodermatophilus obscurus	0.0031
Glaciecola sp. HTCC2999	0.0006
Gluconacetobacter diazotrophicus	0.0003
Gluconacetobacter hansenii	0.0020
Gluconobacter oxydans	0.0011
Gordonia bronchialis	0.0008
Gordonibacter pamelaeae	0.0003
Gramella forsetii	0.0011
Granulibacter bethesdensis	0.0006
Granulicatella adiacens	0.0008
Grimontia hollisae	0.0008
Haemophilus influenzae	0.0031
Haliangium ochraceum	0.0014
Halobacterium salinarum	0.0006
Halogeometricum borinquense	0.0003
Halomonas elongata	0.0008
Halothermothrix orenii	0.0023
Halothiobacillus neapolitanus	0.0023
Helicobacter felis	0.0003
Helicobacter hepaticus	0.0003
Helicobacter pullorum	0.0003
Helicobacter pylori	0.0028
Heliobacterium modesticaldum	0.0006
Herbaspirillum seropedicae	0.0003
Herminiimonas arsenicoxydans	0.0011
Herpetosiphon aurantiacus	0.0025
Hirschia baltica	0.0017
Histophilus somni	0.0014
Hoeflea phototrophica	0.0017
Holdemania filiformis	0.0003
Hydrogenivirga sp. 128-5-R1-1	0.0048
Hydrogenobacter thermophilus	0.0003
Hydrogenobaculum sp. Y04AAS1	0.0017
Hyperthermus butylicus	0.0014
Hyphomonas neptunium	0.0011
Idiomarina loihiensis	0.0003
Ignicoccus hospitalis	0.0014
Janibacter sp. HTCC2649	0.0023
Jannaschia sp. CCS1	0.0020
Janthinobacterium sp. Marseille	0.0008
Jonesia denitrificans	0.0006
Jonquetella anthropi	0.0008
Kangiella koreensis	0.0003
Kineococcus radiotolerans	0.0006
Kingella oralis	0.0006
Klebsiella pneumoniae	0.0198
Kordia algicida	0.0008
Kosmotoga olearia	0.0006
Kribbella flavida	0.0006
Kytococcus sedentarius	0.0011
Labrenzia aggregata	0.0014
Labrenzia alexandrii	0.0011
Lactobacillus amylolyticus	0.0003
Lactobacillus amylovorus	0.0003
Lactobacillus antri	0.0003
Lactobacillus brevis	0.0020
Lactobacillus casei	0.0011
Lactobacillus crispatus	0.0006
Lactobacillus delbrueckii	0.0017
Lactobacillus fermentum	0.0014
Lactobacillus helveticus	0.0006
Lactobacillus iners	0.0017
Lactobacillus jensenii	0.0008
Lactobacillus plantarum	0.0003
Lactobacillus reuteri	0.0011
Lactobacillus rhamnosus	0.0014
