taxa	abundance
Acholeplasma	0.0024
Acidaminococcus	0.0144
Acinetobacter	0.0024
Anaerofustis	0.0024
Bacteroides	0.1507
Bifidobacterium	0.0287
Blastopirellula	0.0024
Blautia	0.0191
Butyrivibrio	0.0096
Caminibacter	0.0024
Campylobacter	0.0048
Cardiobacterium	0.0024
Catenibacterium	0.0048
Clostridium	0.0885
Coprococcus	0.0263
Coprothermobacter	0.0024
Corynebacterium	0.0024
Cupriavidus	0.0024
Desulfotomaculum	0.0024
Enterococcus	0.0024
Escherichia	0.0167
Ethanoligenens	0.0024
Eubacterium	0.1196
Faecalibacterium	0.1220
Haemophilus	0.0048
Heliobacterium	0.0024
Lactobacillus	0.0072
Limnobacter	0.0048
Marinomonas	0.0048
Megasphaera	0.0024
Methylacidiphilum	0.0024
Methylibium	0.0024
Mycoplasma	0.0048
Neorickettsia	0.0024
Nitrosococcus	0.0024
Oceanobacillus	0.0024
Parvularcula	0.0024
Polynucleobacter	0.0024
Prevotella	0.0048
Pseudomonas	0.0048
Rhizobium	0.0024
Rhodopseudomonas	0.0024
Roseburia	0.0502
Ruminococcus	0.0789
Salmonella	0.0024
Shigella	0.0024
Streptococcus	0.0048
Subdoligranulum	0.0646
Sutterella	0.0048
Taylorella	0.0024
Thermofilum	0.0024
Thermotoga	0.0024
Thiobacillus	0.0048
Zymomonas	0.0024
unclassified	0.0813
