taxa	abundance
Acholeplasmatales	0.0048
Actinomycetales	0.0024
Bacillales	0.0024
Bacteroidales	0.1555
Bifidobacteriales	0.0287
Burkholderiales	0.0335
Campylobacterales	0.0048
Cardiobacteriales	0.0048
Chromatiales	0.0024
Chroococcales	0.0024
Clostridiales	0.6244
Enterobacteriales	0.0215
Erysipelotrichales	0.0191
Hydrogenophilales	0.0048
Lactobacillales	0.0144
Methylacidiphilales	0.0024
Mycoplasmatales	0.0048
Nautiliales	0.0024
Neisseriales	0.0024
Oceanospirillales	0.0048
Parvularculales	0.0024
Pasteurellales	0.0048
Planctomycetales	0.0024
Pseudomonadales	0.0072
Rhizobiales	0.0048
Rhodocyclales	0.0024
Rickettsiales	0.0048
Selenomonadales	0.0167
Sphingomonadales	0.0024
Thermoanaerobacterales	0.0024
Thermoproteales	0.0024
Thermotogales	0.0024
unclassified	0.0024
