taxa	abundance
Acholeplasma laidlawii	0.0024
Acidaminococcus fermentans	0.0048
Acinetobacter sp. DR1	0.0024
Anaerofustis stercorihominis	0.0024
Bacteroides cellulosilyticus	0.0024
Bacteroides dorei	0.0167
Bacteroides finegoldii	0.0024
Bacteroides intestinalis	0.0024
Bacteroides ovatus	0.0215
Bacteroides plebeius	0.0167
Bacteroides sp. 1_1_14	0.0024
Bacteroides sp. D1	0.0120
Bacteroides sp. D22	0.0024
Bacteroides stercoris	0.0239
Bacteroides thetaiotaomicron	0.0144
Bacteroides uniformis	0.0024
Bacteroides vulgatus	0.0096
Bacteroides xylanisolvens	0.0024
Bifidobacterium adolescentis	0.0024
Bifidobacterium catenulatum	0.0024
Bifidobacterium longum	0.0144
Bifidobacterium pseudocatenulatum	0.0096
Blastopirellula marina	0.0024
Blautia hansenii	0.0144
Blautia hydrogenotrophica	0.0048
Burkholderiales bacterium 1_1_47	0.0024
Butyrivibrio crossotus	0.0096
Caminibacter mediatlanticus	0.0024
Campylobacter fetus	0.0024
Campylobacter jejuni	0.0024
Cardiobacterium hominis	0.0024
Catenibacterium mitsuokai	0.0048
Clostridiales bacterium 1_7_47FAA	0.0096
Clostridium botulinum	0.0024
Clostridium hathewayi	0.0287
Clostridium phytofermentans	0.0072
Clostridium ramosum	0.0048
Clostridium saccharolyticum	0.0024
Clostridium sp. L2-50	0.0048
Clostridium sp. M62/1	0.0024
Clostridium sp. SS2/1	0.0191
Clostridium thermocellum	0.0024
Coprococcus catus	0.0048
Coprococcus comes	0.0191
Coprothermobacter proteolyticus	0.0024
Corynebacterium matruchotii	0.0024
Cupriavidus pinatubonensis	0.0024
Desulfotomaculum acetoxidans	0.0024
Enterococcus casseliflavus	0.0024
Erysipelotrichaceae bacterium 5_2_54FAA	0.0072
Escherichia coli	0.0167
Ethanoligenens harbinense	0.0024
Eubacterium dolichum	0.0024
Eubacterium eligens	0.1029
Eubacterium rectale	0.0144
Faecalibacterium prausnitzii	0.1220
Haemophilus influenzae	0.0024
Haemophilus parasuis	0.0024
Heliobacterium modesticaldum	0.0024
Lachnospiraceae bacterium 5_1_63FAA	0.0024
Lactobacillus fermentum	0.0048
Lactobacillus gasseri	0.0024
Limnobacter sp. MED105	0.0048
Marinomonas sp. MWYL1	0.0048
Marvinbryantia formatexigens	0.0048
Megasphaera genomosp. type_1	0.0024
Methylacidiphilum infernorum	0.0024
Methylibium petroleiphilum	0.0024
Mycoplasma conjunctivae	0.0024
Mycoplasma pulmonis	0.0024
Nitrosococcus oceani	0.0024
Oceanobacillus iheyensis	0.0024
Parvularcula bermudensis	0.0024
Polynucleobacter necessarius	0.0024
Prevotella melaninogenica	0.0024
Pseudomonas aeruginosa	0.0024
Pseudomonas mendocina	0.0024
Rhizobium leguminosarum	0.0024
Rhodopseudomonas palustris	0.0024
Roseburia intestinalis	0.0478
Roseburia inulinivorans	0.0024
Ruminococcus bromii	0.0048
Ruminococcus obeum	0.0359
Ruminococcus sp. 5_1_39BFAA	0.0287
Ruminococcus torques	0.0072
Salmonella enterica	0.0024
Shigella flexneri	0.0024
Streptococcus mitis	0.0024
Streptococcus pneumoniae	0.0024
Subdoligranulum variabile	0.0646
Sutterella wadsworthensis	0.0048
Taylorella equigenitalis	0.0024
Thermofilum pendens	0.0024
Thermotoga maritima	0.0024
Thiobacillus denitrificans	0.0048
Zymomonas mobilis	0.0024
[Bacteroides] pectinophilus	0.0024
cyanobacterium UCYN-A	0.0024
unclassified	0.1029
