taxa	abundance
Abiotrophia	0.0057
Acaryochloris	0.0011
Acetobacter	0.0006
Acholeplasma	0.0062
Achromobacter	0.0003
Acidimicrobium	0.0017
Acidiphilium	0.0006
Acidithiobacillus	0.0008
Acidobacterium	0.0011
Acidothermus	0.0042
Acinetobacter	0.0062
Actinobacillus	0.0023
Actinomyces	0.0062
Actinosynnema	0.0014
Aeromicrobium	0.0014
Aeromonas	0.0003
Aeropyrum	0.0003
Aggregatibacter	0.0006
Agrobacterium	0.0011
Akkermansia	0.0025
Albidiferax	0.0006
Alcanivorax	0.0011
Algoriphagus	0.0006
Alicycliphilus	0.0003
Alicyclobacillus	0.0008
Aliivibrio	0.0006
Alistipes	0.0014
Alkaliphilus	0.0008
Allochromatium	0.0006
Alteromonas	0.0003
Ammonifex	0.0003
Amycolatopsis	0.0003
Anabaena	0.0003
Anaerobaculum	0.0017
Anaerococcus	0.0017
Anaerofustis	0.0020
Anaeromyxobacter	0.0011
Anaerostipes	0.0008
Anaerotruncus	0.0003
Anaplasma	0.0008
Aquifex	0.0014
Arcobacter	0.0003
Aromatoleum	0.0008
Arsenophonus	0.0008
Arthrobacter	0.0170
Arthrospira	0.0014
Asticcacaulis	0.0023
Atopobium	0.0014
Aurantimonas	0.0008
Azoarcus	0.0006
Azorhizobium	0.0014
Azospirillum	0.0008
Azotobacter	0.0003
Bacillus	0.0040
Bacteroides	0.0014
Bartonella	0.0048
Bdellovibrio	0.0014
Beggiatoa	0.0020
Bifidobacterium	0.0065
Blastopirellula	0.0006
Blattabacterium	0.0011
Blautia	0.0008
Bordetella	0.0006
Borrelia	0.0113
Brachybacterium	0.0025
Brachyspira	0.0011
Bradyrhizobium	0.0020
Brevibacterium	0.0017
Brevundimonas	0.0023
Brucella	0.0023
Buchnera	0.0107
Bulleidia	0.0017
Burkholderia	0.0054
Butyrivibrio	0.0023
Caldanaerobacter	0.0003
Caldicellulosiruptor	0.0028
Caminibacter	0.0003
Campylobacter	0.0042
Candidatus Accumulibacter	0.0011
Candidatus Amoebophilus	0.0003
Candidatus Azobacteroides	0.0003
Candidatus Blochmannia	0.0034
Candidatus Desulforudis	0.0008
Candidatus Hamiltonella	0.0011
Candidatus Koribacter	0.0006
Candidatus Liberibacter	0.0028
Candidatus Pelagibacter	0.0003
Candidatus Phytoplasma	0.0702
Candidatus Protochlamydia	0.0003
Candidatus Regiella	0.0006
Candidatus Solibacter	0.0011
Capnocytophaga	0.0006
Carboxydothermus	0.0008
Cardiobacterium	0.0003
Catenibacterium	0.0040
Catenulispora	0.0011
Catonella	0.0031
Caulobacter	0.0006
Cellulomonas	0.0011
Cellulophaga	0.0003
Cellvibrio	0.0008
Chelativorans	0.0011
Chitinophaga	0.0006
Chlamydia	0.0074
Chlamydophila	0.0003
Chlorobium	0.0020
Chloroflexus	0.0008
Chloroherpeton	0.0003
Chromobacterium	0.0008
Chromohalobacter	0.0003
Chryseobacterium	0.0003
Chthoniobacter	0.0006
Citreicella	0.0003
Citrobacter	0.0003
Citromicrobium	0.0003
Clavibacter	0.0011
Clostridium	0.0274
Collinsella	0.0011
Colwellia	0.0017
Comamonas	0.0006
Coprococcus	0.0020
Coprothermobacter	0.0017
Corynebacterium	0.0122
Coxiella	0.0017
Cronobacter	0.0003
Cupriavidus	0.0003
Curvibacter	0.0003
Cyanobium	0.0003
Cyanothece	0.0008
Cytophaga	0.0003
Dechloromonas	0.0006
Dehalococcoides	0.0003
Deinococcus	0.0020
Delftia	0.0003
Dermacoccus	0.0011
Desulfitobacterium	0.0011
Desulfobacterium	0.0011
Desulfococcus	0.0006
Desulfomicrobium	0.0006
Desulfonatronospira	0.0003
Desulfotalea	0.0008
Desulfotomaculum	0.0011
Desulfovibrio	0.0025
Desulfurivibrio	0.0011
Desulfuromonas	0.0003
Dethiobacter	0.0011
Dethiosulfovibrio	0.0020
Dialister	0.0006
Dichelobacter	0.0025
Dickeya	0.0008
Dictyoglomus	0.0017
Dinoroseobacter	0.0014
Dokdonia	0.0008
Dorea	0.0006
Dyadobacter	0.0006
Edwardsiella	0.0130
Ehrlichia	0.0017
Eikenella	0.0003
Elusimicrobium	0.0031
Endoriftia	0.0006
Enterococcus	0.0023
Erwinia	0.0008
Erysipelothrix	0.0020
Erythrobacter	0.0028
Escherichia	0.0025
Ethanoligenens	0.0020
Eubacterium	0.0014
Exiguobacterium	0.0008
Faecalibacterium	0.0008
Ferrimonas	0.0011
Fervidobacterium	0.0006
