taxa	abundance
Actinobacteria (class)	0.2217
Alphaproteobacteria	0.0950
Aquificae (class)	0.0037
Bacilli	0.1094
Bacteroidia	0.0107
Betaproteobacteria	0.0410
Chlamydiia	0.0085
Chlorobia	0.0040
Chloroflexi (class)	0.0045
Clostridia	0.0911
Cytophagia	0.0040
Dehalococcoidetes	0.0014
Deinococci	0.0040
Deltaproteobacteria	0.0232
Dictyoglomia	0.0008
Elusimicrobia (class)	0.0020
Epsilonproteobacteria	0.0150
Erysipelotrichi	0.0294
Fibrobacteria	0.0008
Flavobacteriia	0.0093
Fusobacteriia	0.0020
Gammaproteobacteria	0.1431
Gemmatimonadetes (class)	0.0017
Gloeobacteria	0.0017
Mollicutes	0.0964
Negativicutes	0.0040
Nitrospira (class)	0.0023
Opitutae	0.0008
Planctomycetia	0.0068
Solibacteres	0.0014
Spartobacteria	0.0011
Sphingobacteriia	0.0023
Spirochaetia	0.0240
Synergistia	0.0025
Thermomicrobia (class)	0.0020
Thermoprotei	0.0003
Thermotogae (class)	0.0062
Verrucomicrobiae	0.0014
Zetaproteobacteria	0.0003
unclassified	0.0201
