taxa	abundance
Acholeplasmatales	0.0834
Acidimicrobiales	0.0017
Acidithiobacillales	0.0006
Actinomycetales	0.1932
Aeromonadales	0.0020
Alteromonadales	0.0090
Aquificales	0.0037
Bacillales	0.0303
Bacteroidales	0.0107
Bacteroidetes Order II. Incertae sedis	0.0017
Bdellovibrionales	0.0020
Bifidobacteriales	0.0170
Burkholderiales	0.0212
Campylobacterales	0.0119
Cardiobacteriales	0.0017
Caulobacterales	0.0057
Chlamydiales	0.0085
Chlorobiales	0.0040
Chloroflexales	0.0023
Chromatiales	0.0065
Chroococcales	0.0059
Clostridiales	0.0834
Coriobacteriales	0.0065
Cytophagales	0.0040
Deinococcales	0.0017
Desulfobacterales	0.0045
Desulfovibrionales	0.0059
Desulfuromonadales	0.0037
Dictyoglomales	0.0008
Elusimicrobiales	0.0020
Enterobacteriales	0.0727
Entomoplasmatales	0.0011
Erysipelotrichales	0.0294
Fibrobacterales	0.0008
Flavobacteriales	0.0085
Fusobacteriales	0.0020
Gallionellales	0.0020
Gemmatimonadales	0.0017
Gloeobacterales	0.0017
Halanaerobiales	0.0011
Herpetosiphonales	0.0023
Hydrogenophilales	0.0017
Lactobacillales	0.0792
Legionellales	0.0054
Mariprofundales	0.0003
Methylacidiphilales	0.0011
Methylococcales	0.0014
Methylophilales	0.0031
Mycoplasmatales	0.0119
Myxococcales	0.0054
Natranaerobiales	0.0008
Nautiliales	0.0008
Neisseriales	0.0071
Nitrosomonadales	0.0020
Nitrospirales	0.0023
Nostocales	0.0006
Oceanospirillales	0.0045
Oscillatoriales	0.0017
Parvularculales	0.0008
Pasteurellales	0.0051
Planctomycetales	0.0068
Prochlorales	0.0054
Pseudomonadales	0.0139
Rhizobiales	0.0396
Rhodobacterales	0.0286
Rhodocyclales	0.0023
Rhodospirillales	0.0059
Rickettsiales	0.0082
Rubrobacterales	0.0011
Selenomonadales	0.0040
Solibacterales	0.0014
Sphaerobacterales	0.0003
Sphingobacteriales	0.0023
Sphingomonadales	0.0062
Spirochaetales	0.0240
Synergistales	0.0025
Syntrophobacterales	0.0017
Thermales	0.0023
Thermoanaerobacterales	0.0054
Thermomicrobiales	0.0017
Thermoproteales	0.0003
Thermotogales	0.0062
Thiotrichales	0.0076
Verrucomicrobiales	0.0014
Vibrionales	0.0037
Xanthomonadales	0.0045
unclassified	0.0189
