taxa	abundance
Acidaminococcaceae	0.0078
Aerococcaceae	0.0039
Alicyclobacillaceae	0.0039
Anaplasmataceae	0.0078
Bacteroidaceae	0.2646
Bifidobacteriaceae	0.0506
Brucellaceae	0.0039
Campylobacteraceae	0.0078
Carnobacteriaceae	0.0039
Clostridiaceae	0.0428
Coriobacteriaceae	0.0039
Enterobacteriaceae	0.0311
Enterococcaceae	0.0117
Erysipelotrichaceae	0.1051
Eubacteriaceae	0.0156
Halobacteriaceae	0.0078
Hyphomonadaceae	0.0039
Lachnospiraceae	0.0506
Lactobacillaceae	0.0078
Moraxellaceae	0.0039
Mycoplasmataceae	0.0039
Nitrosopumilaceae	0.0039
Paenibacillaceae	0.0039
Peptostreptococcaceae	0.0039
Porphyromonadaceae	0.0039
Prevotellaceae	0.0039
Rhodobacteraceae	0.0039
Ruminococcaceae	0.2023
Sphingomonadaceae	0.0039
Streptococcaceae	0.0039
Thermodesulfobiaceae	0.0039
Thiotrichaceae	0.0078
Veillonellaceae	0.0467
unclassified	0.0661
