taxa	abundance
Acetobacteraceae	0.0051
Acholeplasmataceae	0.0025
Acidaminococcaceae	0.0006
Acidimicrobiaceae	0.0037
Acidithiobacillaceae	0.0020
Acidothermaceae	0.0082
Actinomycetaceae	0.0207
Actinosynnemataceae	0.0025
Aerococcaceae	0.0008
Aeromonadaceae	0.0006
Alcaligenaceae	0.0023
Alcanivoracaceae	0.0011
Alicyclobacillaceae	0.0034
Alteromonadaceae	0.0008
Anaplasmataceae	0.0144
Aquificaceae	0.0025
Archaeoglobaceae	0.0025
Aurantimonadaceae	0.0020
Bacillaceae	0.0127
Bacteroidaceae	0.0014
Bartonellaceae	0.0028
Bdellovibrionaceae	0.0054
Beijerinckiaceae	0.0017
Beutenbergiaceae	0.0045
Bifidobacteriaceae	0.0144
Brachyspiraceae	0.0008
Bradyrhizobiaceae	0.0113
Brevibacteriaceae	0.0003
Brucellaceae	0.0042
Burkholderiaceae	0.0303
Campylobacteraceae	0.0275
Cardiobacteriaceae	0.0017
Carnobacteriaceae	0.0014
Catenulisporaceae	0.0028
Caulobacteraceae	0.0057
Cellulomonadaceae	0.0017
Chlamydiaceae	0.0028
Chlorobiaceae	0.0045
Chloroflexaceae	0.0025
Chromatiaceae	0.0008
Clostridiaceae	0.0663
Clostridiales Family XI. Incertae Sedis	0.0020
Clostridiales Family XVIII. Incertae Sedis	0.0008
Colwelliaceae	0.0006
Comamonadaceae	0.0071
Coriobacteriaceae	0.0028
Corynebacteriaceae	0.0227
Coxiellaceae	0.0028
Cyclobacteriaceae	0.0006
Cystobacteraceae	0.0122
Cytophagaceae	0.0031
Deinococcaceae	0.0011
Dermabacteraceae	0.0020
Dermacoccaceae	0.0031
Desulfobacteraceae	0.0028
Desulfobulbaceae	0.0011
Desulfohalobiaceae	0.0017
Desulfomicrobiaceae	0.0020
Desulfovibrionaceae	0.0096
Desulfurococcaceae	0.0028
Ectothiorhodospiraceae	0.0042
Elusimicrobiaceae	0.0031
Enterobacteriaceae	0.0278
Enterococcaceae	0.0079
Entomoplasmataceae	0.0031
Erysipelotrichaceae	0.0059
Erythrobacteraceae	0.0017
Eubacteriaceae	0.0017
Ferroplasmaceae	0.0008
Fibrobacteraceae	0.0020
Flavobacteriaceae	0.0042
Francisellaceae	0.0065
Frankiaceae	0.0028
Fusobacteriaceae	0.0008
Gallionellaceae	0.0017
Gemmatimonadaceae	0.0006
Geobacteraceae	0.0037
Geodermatophilaceae	0.0023
Glycomycetaceae	0.0042
Hahellaceae	0.0006
Halanaerobiaceae	0.0006
Halobacteriaceae	0.0088
Halomonadaceae	0.0011
Halothiobacillaceae	0.0023
Helicobacteraceae	0.0031
Heliobacteriaceae	0.0028
Herpetosiphonaceae	0.0003
Hydrogenothermaceae	0.0023
Hyphomicrobiaceae	0.0028
Hyphomonadaceae	0.0034
Idiomarinaceae	0.0008
Intrasporangiaceae	0.0028
Jonesiaceae	0.0008
Kineosporiaceae	0.0006
Kofleriaceae	0.0020
Lachnospiraceae	0.0057
Lactobacillaceae	0.0221
Legionellaceae	0.0011
Leptospiraceae	0.0023
Leptotrichiaceae	0.0011
Leuconostocaceae	0.0059
Listeriaceae	0.0099
Mariprofundaceae	0.0023
Methanobacteriaceae	0.0017
Methanocaldococcaceae	0.0008
Methanocellaceae	0.0031
Methanococcaceae	0.0017
Methanocorpusculaceae	0.0017
Methanomicrobiaceae	0.0003
Methanopyraceae	0.0037
Methanosaetaceae	0.0025
Methanosarcinaceae	0.0025
Methanospirillaceae	0.0003
Methylacidiphilaceae	0.0011
Methylobacteriaceae	0.0037
Methylococcaceae	0.0028
Methylophilaceae	0.0034
Microbacteriaceae	0.0048
Micrococcaceae	0.0130
Micromonosporaceae	0.0025
Moraxellaceae	0.0040
Moritellaceae	0.0003
Mycobacteriaceae	0.0133
Mycoplasmataceae	0.0127
Myxococcaceae	0.0062
Nakamurellaceae	0.0028
Nannocystaceae	0.0020
Natranaerobiaceae	0.0008
Neisseriaceae	0.0082
Nitrosomonadaceae	0.0014
Nitrosopumilaceae	0.0003
Nitrospiraceae	0.0008
Nocardiaceae	0.0085
Nocardioidaceae	0.0065
Nocardiopsaceae	0.0028
Nostocaceae	0.0008
Oceanospirillaceae	0.0020
Opitutaceae	0.0017
Oxalobacteraceae	0.0031
Paenibacillaceae	0.0037
Parachlamydiaceae	0.0006
Parvularculaceae	0.0023
Pasteurellaceae	0.0054
Pelobacteraceae	0.0031
Peptococcaceae	0.0031
Peptostreptococcaceae	0.0006
Phyllobacteriaceae	0.0057
Picrophilaceae	0.0006
Piscirickettsiaceae	0.0008
Planctomycetaceae	0.0065
Polyangiaceae	0.0028
Porphyromonadaceae	0.0006
Prevotellaceae	0.0057
Prochlorococcaceae	0.0062
Propionibacteriaceae	0.0108
Pseudoalteromonadaceae	0.0014
Pseudomonadaceae	0.0079
Pseudonocardiaceae	0.0028
Psychromonadaceae	0.0020
Pyrodictiaceae	0.0006
Rhizobiaceae	0.0076
Rhodobacteraceae	0.0159
Rhodocyclaceae	0.0023
Rhodospirillaceae	0.0051
Rhodothermaceae	0.0017
Rickettsiaceae	0.0037
Rikenellaceae	0.0008
Rubrobacteraceae	0.0031
Ruminococcaceae	0.0436
Sanguibacteraceae	0.0017
Shewanellaceae	0.0031
Solibacteraceae	0.0031
Sphaerobacteraceae	0.0011
Sphingomonadaceae	0.0068
Spirochaetaceae	0.0071
Staphylococcaceae	0.0062
Streptococcaceae	0.0142
Streptomycetaceae	0.0133
Streptosporangiaceae	0.0020
Sulfolobaceae	0.0034
Synergistaceae	0.0054
Syntrophaceae	0.0014
Syntrophobacteraceae	0.0017
