taxa	abundance
Acidobacteria	0.0042
Actinobacteria	0.1971
Aquificae	0.0048
Bacteroidetes	0.0224
Chlamydiae	0.0034
Chlorobi	0.0045
Chloroflexi	0.0074
Crenarchaeota	0.0161
Cyanobacteria	0.0190
Deinococcus-Thermus	0.0045
Elusimicrobia	0.0031
Euryarchaeota	0.0394
Fibrobacteres	0.0020
Firmicutes	0.2373
Fusobacteria	0.0020
Gemmatimonadetes	0.0006
Korarchaeota	0.0059
Nitrospirae	0.0008
Planctomycetes	0.0065
Proteobacteria	0.3685
Spirochaetes	0.0102
Synergistetes	0.0054
Tenericutes	0.0184
Thaumarchaeota	0.0003
Thermotogae	0.0091
Verrucomicrobia	0.0071
