taxa	abundance
Actinobacteria (class)	0.0332
Alphaproteobacteria	0.0100
Bacilli	0.0498
Bacteroidia	0.1305
Betaproteobacteria	0.0288
Chlamydiia	0.0022
Clostridia	0.6527
Deltaproteobacteria	0.0166
Elusimicrobia (class)	0.0011
Erysipelotrichi	0.0277
Fibrobacteria	0.0011
Flavobacteriia	0.0033
Fusobacteriia	0.0011
Gammaproteobacteria	0.0188
Methanomicrobia	0.0011
Mollicutes	0.0022
Negativicutes	0.0044
Planctomycetia	0.0011
Sphingobacteriia	0.0011
Spirochaetia	0.0033
Synergistia	0.0011
Thermoprotei	0.0011
Thermotogae (class)	0.0011
Zetaproteobacteria	0.0011
unclassified	0.0055
